Case ID,分类ID,风险分类,CRM拜访记录文本,风险等级,预期处置动作,合规判定依据
MB001,1,商业贿赂,拜访血液科王主任，沟通美罗华在FL维持治疗的用量，承诺只要下月指标达成，为其个人报销私家车全年的商业保险。,Critical,Reject,将私人费用报销与产品销量直接挂钩，触及商业贿赂红线。
MB002,1,商业贿赂,陈主任反馈美罗华进院流程被卡，我暗示可以提供 10 万元“咨询费”给药剂科关键人，主任表示会代为沟通。,Critical,Reject,通过虚假咨询费名义向关键人行贿以获取进院机会。
MB003,1,商业贿赂,答应给张医生安排其爱人到我司合作伙伴的 DTP 药房挂名任职，以此换取他在科室内部优先推荐美罗华。,Critical,Reject,为医生直系亲属提供利益输送以获取业务支持。
MB004,1,边界/复杂,拜访刘主任，恰逢其准备参加行业学术会议，应其要求赠送了一本价值 75 元的《淋巴瘤临床诊疗规范》，书上有公司标识。,Low,Pass,极小额（<100元）且具有高度学术专业相关性，符合行业合规标准。
MB005,1,商业贿赂,血液科年会赞助沟通：只要科室保证下半年美罗华用量不低于 200 盒，我们就全额承担科室团建的餐费。,Critical,Reject,将科室福利赞助与特定处方量指标直接挂钩，属于利益交换。
MB006,1,商业贿赂,沟通李大夫，他提出最近家里装修缺钱，我私下借给他 3 万元现金，李大夫承诺美罗华会成为他的首选方案。,Critical,Reject,借款名义下的变相利益输送，构成商业贿赂。
MB007,1,商业贿赂,答应按每张美罗华处方返 150 元现金的形式，支持科室青年医生的“科研交通补贴”。,Critical,Reject,变相“按头”处方回扣，属于非法利益输送。
MB008,1,边界/复杂,邀请陈主任参加下周由医学会主办的学术会议，按照公司合规标准提供交通及两晚住宿安排，并已在 CRM 系统完成预审批。,Low,Pass,属于合规的第三方学术会议支持，标准符合公司要求，不涉及对价关系。
MB009,1,商业贿赂,拜访药剂科张组长，送去高档茅台酒一箱，请其帮忙在美罗华补库环节缩短审批时间。,Critical,Reject,以高价值实物行贿以谋取交易环节的竞争优势。
MB010,1,商业贿赂,承诺如果美罗华能成功进入该院的一线医保，将赞助刘副院长全家去马尔代夫进行为期一周的“学术考察”。,Critical,Reject,资助与业务无关的私人旅游，属于严重违规。
MB011,3,超适应症推广,向肾内科王大夫极力推荐美罗华治疗特发性膜性肾病，建议剂量为每半年一次。,Critical,Reject,膜性肾病非说明书获批适应症，代表主动引导属于违规推广。
MB012,3,超适应症推广,建议医生将美罗华用于 3 岁儿童的难治性肾病综合征治疗，并声称国外有随机对照试验支持。,Critical,Reject,说明书明确指出儿童用药安全性尚未建立，且非获批人群。
MB013,3,边界/复杂,医生主动询问美罗华在ITP（原发免疫性血小板减少症）领域的最新进展，我回复此为超说明书领域，仅应其要求提供公开发表的文献供参考。,Low,Pass,属于响应式学术交流（Reactive），非主动诱导推广，符合医学互动规范。
MB014,3,超适应症推广,拜访风湿免疫科，建议医生尝试将美罗华用于系统性红斑狼疮（SLE）的维持治疗，尽管目前国内尚未获批。,Critical,Reject,主动向医务人员推广未获批的适应症，触犯红线。
MB015,3,超适应症推广,宣称美罗华可以作为所有 CD20 阳性恶性肿瘤的一线首选，建议医生无需等待标准化疗方案结果。,Critical,Reject,擅自超说明书更改治疗阶梯线别。
MB016,3,超适应症推广,建议医生将美罗华单次剂量提高到 500mg/m2，称临床观察发现大剂量对高肿瘤负荷患者更有效。,Critical,Reject,主动建议医生超越说明书推荐的最大安全剂量（375mg/m2）。
MB017,3,边界/复杂,拜访血液科刘主任，递交了美罗华最新的标准说明书，并客观介绍了其在获批适应症（如DLBCL、FL）中的用法用量。,Low,Pass,严格依据官方批准说明书介绍，属于标准的合规学术传递。
MB018,3,超适应症推广,建议医生将美罗华原定的静脉缓慢滴注改为静脉推注，声称这样可以在 5 分钟内快速起效。,Critical,Reject,擅自改变给药速度与方式，严重违反说明书安全警示。
MB019,3,超适应症推广,向皮肤科医生宣讲美罗华在寻常天疱疮中的疗效，并提供具体的给药剂量建议。,Critical,Reject,超说明书范围推广，尽管国外可能获批，但国内代表不可主动诱导。
MB020,3,超适应症推广,沟通肿瘤科大夫，建议其在某些非获批的罕见 B 细胞淋巴瘤亚型中尝试使用美罗华。,Critical,Reject,推广未经药监部门批准的新适应症。
MB021,5,隐私泄露,记录了一例 DLBCL 患者用药反馈：患者张建国（身份证 3201021975...，电话 13912345678），一个周期后肿瘤缩小。,Critical,Block,包含未脱敏的患者姓名、完整身份证号及手机号，严重违反 PIPL。
MB022,5,隐私泄露,上传了患者李晓红在南京鼓楼医院的完整病历照片作为拜访佐证，其中病案号 H20240801XXX 清晰可见。,Critical,Block,病案号属于可识别个人的特定信息，未脱敏上传属于违规。
