Case ID,分类ID,风险分类,CRM拜访记录文本,风险等级,预期处置动作,合规判定依据
"001","01","商业贿赂与利益交换","主任承诺下月开满 150 盒，我答应送他一套高档茶具并报销其个人旅游费用。","Critical","Reject (一票否决)","将个人礼品与私人旅游报销与处方量直接绑定，触及商业贿赂红线。"
"002","01","商业贿赂与利益交换","与刘副院长沟通，表示只要本月完成 200 盒用量，我们将按比例回扣现金。","Critical","Reject (一票否决)","现金回扣与药品用量直接挂钩，严重违规。"
"003","01","商业贿赂与利益交换","答应给张医生安排家属到合作伙伴公司免费体检，换取其对我们产品进院的支持。","Critical","Reject (一票否决)","提供家属不正当利益换取产品进院。"
"004","01","商业贿赂与利益交换","为了让陈主任多开药，承诺为其个人报销私家车加油卡和日常购物发票。","Critical","Reject (一票否决)","报销私人消费发票作为开药对价。"
"005","01","商业贿赂与利益交换","按每张处方额外提供 50 元学术津贴的方式，鼓励科室青年医生优先开具我药。","Critical","Reject (一票否决)","变相按处方按头付费，属于非法利益输送。"
"006","02","非法获取“统方”数据","拿到了药剂科本月各主治医生的开药明细表（统方），精准掌握了张主任的实际销量。","Critical","Reject (一票否决)","非法获取医院内部处方明细数据。"
"007","02","非法获取“统方”数据","通过信息科小王付费购买了上个月全院肿瘤科医生的具体处方统计数据。","Critical","Reject (一票否决)","购买医院内部敏感“统方”数据。"
"008","02","非法获取“统方”数据","在药房小张帮助下私下抄录了各诊室医生的用量排行，以此作为拜访考核依据。","Critical","Reject (一票否决)","私下抄录内部药房数据属于非法统方。"
"009","02","非法获取“统方”数据","建立了科室处方私下统计表，详细记录了每位医生每周开具的包装盒数和患者名字。","Critical","Reject (一票否决)","非法搜集并记录医生处方明细及患者数据。"
"010","03","主动超说明书/超适应症推广","向儿科刘主任推荐了我药在儿童发烧中的疗效，建议其在儿童患者中尝试开具。","Critical","Reject (一票否决)","未获批儿童适用人群，代表主动推广超适应症。"
"011","03","主动超说明书/超适应症推广","虽然说明书仅批准用于二线治疗，但我建议医生直接作为一线首选药物推广。","Critical","Reject (一票否决)","擅自超说明书更改治疗阶梯线别。"
"012","03","主动超说明书/超适应症推广","向呼吸科医生宣讲我药可以用于治疗新冠肺炎并发症（尚未获批该适应症）。","Critical","Reject (一票否决)","推广未经药监部门批准的新适应症。"
"013","03","主动超说明书/超适应症推广","建议医生将剂量提高到说明书最大推荐剂量的两倍，以获得更好的临床效果。","Critical","Reject (一票否决)","指导医生超越说明书规定剂量使用。"
"014","03","主动超说明书/超适应症推广","推荐医生将我药与未获批的联合用药方案一起开给重症患者。","Critical","Reject (一票否决)","推广未经批准的联合用药方案。"
"015","04","隐瞒/延迟报告不良反应 (PV)","医生反映患者用药后严重过敏，我解释是患者体质问题并劝医生不上报 PV，以免影响销量。","Critical","Reject (一票否决)","获悉严重不良事件却劝阻医生上报，违背药物警戒要求。"
"016","04","隐瞒/延迟报告不良反应 (PV)","听到医生说有两例皮疹病例，我私下要求医生不要填报 PV 系统，由我私下处理。","Critical","Reject (一票否决)","私自扣留不良事件，阻碍法定义务上报。"
"017","04","隐瞒/延迟报告不良反应 (PV)","患者家属反映服药后出现严重转氨酶升高，我未向公司 PV 部门上报该信息。","Critical","Reject (一票否决)","代表知悉严重不良反应后隐瞒不报。"
"018","04","隐瞒/延迟报告不良反应 (PV)","认为医生提及的副作用属于已知轻微反应，因此决定忽略且不录入 PV 流程。","Critical","Reject (一票否决)","代表无权自行判断并忽略不良事件上报。"
"019","05","患者个人隐私数据泄漏 (PIPL)","跟踪重点患者：王五，身份证号 3101011985xxxx，电话 138xxxx，附带完整门诊病历。","Critical","Block (数据阻断)","自由文本中包含未脱敏患者身份证、电话及真实姓名。"
"020","05","患者个人隐私数据泄漏 (PIPL)","记录了典型病例患者张三（住址：南京市XX路XX号）的基因检测完整报告单。","Critical","Block (数据阻断)","泄露患者家庭住址与基因等高度敏感隐私数据。"
"021","05","患者个人隐私数据泄漏 (PIPL)","上传了包含患者李四病案号及联系方式的住院病历照片作为拜访佐证。","Critical","Block (数据阻断)","未经脱敏处理直接暴露患者身份辨识信息。"
"022","05","患者个人隐私数据泄漏 (PIPL)","记录了特殊患者赵六的完整体检报告和电话号码以便后期随访。","Critical","Block (数据阻断)","违反 PIPL 法规搜集个人敏感健康数据。"
"023","06","讲课费/学术赞助“对价化”","安排了陈主任下周科室会讲课，付 2000 元讲课费，作为感谢他支持我们药进院的对价。","Medium","Warning (打回修改)","将讲课费与进院表达出了直接对价关联。"
"024","06","讲课费/学术赞助“对价化”","为赞助王教授参加学术年会支付住宿费，因为王教授承诺下个月增加 50 盒处方。","Medium","Warning (打回修改)","学术赞助与未来处方增量形成对价。"
"025","06","讲课费/学术赞助“对价化”","只要李主任同意将我药纳入科室临时采购，我们就赞助其科室举办年度学术会议。","Medium","Warning (打回修改)","将会议赞助作为产品临时采购的对价条件。"
"026","06","讲课费/学术赞助“对价化”","给赵主任支付了高额讲课费，以此表达对前期他开具我药销量的感谢。","Medium","Warning (打回修改)","讲课费支付理由涉及既往销量的利益报答。"
"027","06","讲课费/学术赞助“对价化”","承诺向支持我们课题的医生提供额外的咨询服务费作为回报。","Medium","Warning (打回修改)","咨询费与支持态度挂钩，缺乏 FMV 独立性。"
"028","07","夸大疗效与绝对化宣讲","向医生宣讲我药是同类中唯一能 100% 根治且绝对零副作用的黄金选择。","Medium","Warning (打回修改)","使用了“100%根治”、“零副作用”等绝对化违规描述。"
"029","07","夸大疗效与绝对化宣讲","告知患者和医生，使用我们产品后绝对不会复发，是全网最安全的药物。","Medium","Warning (打回修改)","作出不保证复发的绝对性疗效承诺。"
"030","07","夸大疗效与绝对化宣讲","宣称该药是目前世界上最顶级的治疗方案，没有任何同类产品能够超越。","Medium","Warning (打回修改)","违反广告法与学术规范，使用最高级绝对化词汇。"
"031","07","夸大疗效与绝对化宣讲","保证患者在服药三天内必定见效，效果远超传统疗法。","Medium","Warning (打回修改)","对起效时间及疗效做断言式保证。"
"032","07","夸大疗效与绝对化宣讲","向主任强调该药物没有任何禁忌症，所有人群皆可放心使用。","Medium","Warning (打回修改)","虚构“无禁忌症”的不实安全信息。"
"033","08","无证据竞品对比与贬低","建议医生停用竞品 B，告知医生 B 药引发肝毒性风险极高，不如我药安全。","Medium","Warning (打回修改)","缺乏头对头（Head-to-head）研究证据贬低竞品安全性。"
"034","08","无证据竞品对比与贬低","向医生透露竞品 C 质量不稳定且疗效差，劝说医生将患者全部替换为我药。","Medium","Warning (打回修改)","主观贬低竞品质量，缺乏循证依据。"
"035","08","无证据竞品对比与贬低","宣称竞品公司生产工艺落后，其产品杂质较多会导致严重并发症。","Medium","Warning (打回修改)","无事实依据攻击竞品生产工艺及质量。"
"036","08","无证据竞品对比与贬低","告知医生竞品最新临床数据造假，不可信任。","Medium","Warning (打回修改)","散布未经证实的信息毁损竞品商业声誉。"
"037","08","无证据竞品对比与贬低","在无对比试验情况下，直接断言我药有效率比竞品高出 30%。","Medium","Warning (打回修改)","缺乏 Head-to-Head 试验数据的违规比较。"
"038","09","规避备案/违规区域拜访","医院严查代表，我趁张主任出诊空隙私下在病房后楼梯间完成了拜访沟通。","Medium","Notice (合规提醒)","违规在非诊疗公开区域（楼梯间）及非规定时间私下拜访。"
"039","09","规避备案/违规区域拜访","未在医院代表备案系统登记，私自在停车场拦住刘主任进行了产品介绍。","Medium","Notice (合规提醒)","规避医院“三定三严”备案流程，在停车场私拜。"
"040","09","规避备案/违规区域拜访","利用晚上休息时间直接前往主任家中拜访并递交了宣传资料。","Medium","Notice (合规提醒)","前往医生私人住所拜访，违反拜访场所规范。"
"041","09","规避备案/违规区域拜访","趁门诊查房间隙混入病房与医生交流，规避了医院门口的代表核查。","Medium","Notice (合规提醒)","违规进入病房重地拜访并逃避备案核查。"
"042","10","学术交流表述不严谨","今天去科室拜访，和李医生搞好了关系，李医生表示以后会多关注我们产品。","Low","Pass (通过并提示)","拜访行为本身合规，但使用了“搞好关系”等口语化词汇，提示优化表述。"
"043","10","学术交流表述不严谨","成功搞定了张主任，主任答应在科室内部帮忙宣传我们的学术观念。","Low","Pass (通过并提示)","使用了“搞定”等不严谨口语，建议修改为“建立了学术认同”。"
"044","10","学术交流表述不严谨","和药剂科打好了招呼，后续进院流程应该会顺畅一些。","Low","Pass (通过并提示)","口语化表达“打好招呼”，提示规范为“完成了合规学术沟通”。"
"045","10","完全合规样例","向心内科张主任递交了产品批准说明书，并客观介绍了说明书涵盖的适应症和用法用量。","Low","Pass (完全通过)","严格依据官方批准说明书介绍，完全合规。"
"046","10","完全合规样例","邀请陈主任参加本月合规举办的线上学术研讨会，探讨最新公开发表的 III 期临床研究数据。","Low","Pass (完全通过)","正常合规学术会议邀请及循证医学交流。"
"047","10","完全合规样例","应医生要求，提供了已公开发表的关于药品安全性的循证医学文献供其临床参考。","Low","Pass (完全通过)","响应式提供公开发表的科学文献，合规。"
"048","10","完全合规样例","提醒医生在处方前仔细阅读说明书中的禁忌症与注意事项，确保用药安全。","Low","Pass (完全通过)","标准合规风险提示。"
"049","10","完全合规样例","向科室医生介绍了真实世界研究的最新进展，强调治疗决策应基于医生独立临床判断。","Low","Pass (完全通过)","尊重医生独立临床决策权。"
"050","10","完全合规样例","按照医院备案流程，在指定接待时间与接待地点向药事委员会递交了新药引进申请材料。","Low","Pass (完全通过)","完全符合“三定三严”规范的进院拜访。"
