ID,分类ID,风险分类,风险级别,CRM拜访记录文本,合规判定依据
001,01,商业贿赂与利益交换,Critical,今天去科室找张主任，沟通了上个月的用量。主任直言最近指标差了一截，问我之前答应的按每盒 20 提成能不能本周兑现，承诺拿到现金后下周开会多推推。,直接提及按药品销量给医生返还现金提成，属于典型商业贿赂。
002,01,商业贿赂与利益交换,Critical,拜访刘大夫，刘大夫抱怨家里小孩上补习班缺钱，我跟他说只要这个月帮我们冲到 100 盒，小孩补习费我用加油卡和超市卡的形式给他报销掉。,以私人费用报销（油卡、购物卡）换取药品冲量，属不正当利益输送。
003,01,商业贿赂与利益交换,Critical,陈院长说最近去三亚开会比较累，想带家属多留几天度假，让我把酒店和机票的账给结了，保证回来后把我们药纳入次月的临时采购目录。,为医院领导支付私人旅游度假费用以换取产品进院。
004,01,商业贿赂与利益交换,Critical,跟药剂科王主任沟通进院事宜，王主任暗示家里需要一台洗碗机和最新款苹果手机，我今天下午已经采购送达其家中，进院流程下周走批复。,向药剂科关键人赠送高价值家电及电子产品获取进院支持。
005,01,商业贿赂与利益交换,Critical,拜访肿瘤科李主任，答应按每张处方返 50 块钱积分的形式，下个月统一兑换成等值黄金小豆子送给他。,变相按处方按头回扣，使用变现资产送礼。
006,01,商业贿赂与利益交换,Critical,跟周主治聊了下，周医生的私家车要保养和换轮胎，我帮他在途虎下了单付了钱，周医生表示本周会把竞品的量切一部分给我们。,为医生个人车辆支付维修保养费用换取切枪替换竞争产品。
007,01,商业贿赂与利益交换,Critical,拜访赵主任，送了两箱高档茅台和一盒茶叶，主任收下后说下周科室大查房会统一安排下属医生优先开具我们产品。,赠送高价值名酒行贿以换取行政干预带量。
008,01,商业贿赂与利益交换,Critical,今天帮孙主任跑腿处理了私人车险续保和违规罚款，主任很满意，当场答应本月把我们产品的处方量拉到 200 盒以上。,代付私人违章罚款及车险费用换取处方增量。
009,01,商业贿赂与利益交换,Critical,跟钱医生沟通，钱医生提出想买一台笔记本电脑写论文，我安排通过项目费报销名义采购了一台 ThinkPad 送过去，对方承诺下月处方翻倍。,通过项目费套现采购私人电脑送予医生。
010,01,商业贿赂与利益交换,Critical,拜访科室吴主任，送去了现金红包 5000 元，祝贺其晋升正高，主任表示以后科室里的用药大方向由他把关，保我们销量。,直接赠送现金红包作为贺礼换取业务庇护。
011,01,商业贿赂与利益交换,Critical,与郑大夫交流，郑大夫提到家里装修缺资金，我私下借给他 2 万元且不写欠条，郑大夫承诺只要他在科室一天，我们药就是第一选择。,无借条私人借款，本质是以借款名义行利益输送之实。
012,01,商业贿赂与利益交换,Critical,沟通王副主任，王副主任要求按月结结算回扣，拿出了 20 张餐饮发票让我帮忙贴现，说这是上个月开 80 盒的提成。,通过虚假餐饮发票贴现向医生支付药品回扣。
013,01,商业贿赂与利益交换,Critical,拜访冯主任，给主任安排了高尔夫球会尊享VIP卡一张，主任非常高兴，表示后面科室的讲课会优先安排我们赞助。,赠送奢华高尔夫会员卡等非学术相关高端消费权益。
